"","Club","Div","GK","F1","F2","M1","M2","M3","M4","D1","D2","D3","D4","B1","B2","B3","B4","B5","B6","B7","Overall","Goalkeeper","Attacking","Midfield","Defense","Bench","LGmeanOvr","LGmeanAtt","LGmeanDef","OvrvsMean","AttvsMean","DefvsMean","homeGF","awayGF","homeGA","awayGA","homeDiff","awayDiff","GF","GA","Diff","LGmeanGoals","GFvsMean","GAvsMean","year"
"1","Aberdeen","SC0",69,70,62,72,71,71,70,70,68,66,66,70,67,66,66,64,61,56,68.6363636363636,69,66,71,67.5,64.2857142857143,67.2651515151515,66.9583333333333,66.9166666666667,1.37121212121212,-0.958333333333329,0.583333333333329,1.78947368421053,2.10526315789474,0.842105263157895,1,0.947368421052632,1.10526315789474,1.94736842105263,0.921052631578947,1.02631578947368,1.3781798245614,0.569188596491228,0.457127192982456,"2017"
"2","Accrington","E3",59,64,61,64,63,62,61,62,62,62,62,60,60,60,59,59,58,56,62,59,62.5,62.5,62,58.8571428571429,63.1666666666667,62.9375,63.2395833333333,-1.16666666666666,-0.4375,-1.23958333333334,1.56521739130435,1,1.26086956521739,1.17391304347826,0.304347826086957,-0.173913043478261,1.28260869565217,1.21739130434783,0.0652173913043477,1.32699275362319,-0.0443840579710146,0.109601449275362,"2017"
"3","Adanaspor","T1",73,74,70,73,69,68,67,73,70,70,69,68,67,67,67,67,66,66,70.5454545454545,73,72,69.25,70.5,66.8571428571429,73.6414141414141,73.75,73.0138888888889,-3.0959595959596,-1.75,-2.51388888888889,1.11764705882353,0.764705882352941,1.88235294117647,1.76470588235294,-0.764705882352941,-1,0.941176470588235,1.82352941176471,-0.882352941176471,1.35294117647059,-0.411764705882353,-0.470588235294118,"2017"
"4","AFC Wimbledon","E2",63,67,65,65,65,64,64,65,65,64,64,64,64,63,63,63,62,60,64.6363636363636,63,66,64.5,64.5,62.7142857142857,65.8068181818182,65.8333333333333,65.8125,-1.17045454545455,0.166666666666671,-1.3125,1.47826086956522,0.782608695652174,1.08695652173913,1.30434782608696,0.391304347826087,-0.521739130434783,1.1304347826087,1.19565217391304,-0.0652173913043479,1.28351449275362,-0.153079710144928,0.0878623188405798,"2017"
"5","Ajaccio","F2",66,73,64,71,69,66,66,69,66,66,65,65,65,64,63,62,62,61,67.3636363636364,66,68.5,68,66.5,63.1428571428571,68.1545454545455,68.55,67.8875,-0.790909090909096,-0.0499999999999972,-1.3875,1.63157894736842,0.842105263157895,1.21052631578947,1.84210526315789,0.421052631578947,-1,1.23684210526316,1.52631578947368,-0.289473684210526,1.24078947368421,-0.00394736842105248,-0.285526315789474,"2017"
"6","Ajaccio GFCO","F2",74,71,68,69,69,68,68,71,69,67,66,71,68,67,66,66,66,65,69.0909090909091,74,69.5,68.5,68.25,67,68.1545454545455,68.55,67.8875,0.936363636363637,0.950000000000003,0.362499999999997,1.47368421052632,1,1.26315789473684,1.42105263157895,0.210526315789474,-0.421052631578947,1.23684210526316,1.34210526315789,-0.105263157894737,1.24078947368421,-0.00394736842105248,-0.101315789473684,"2017"
"7","Ajax","N1",76,76,76,80,80,78,74,78,77,76,75,75,72,72,72,72,72,71,76.9090909090909,76,76,78,76.5,72.2857142857143,71.2020202020202,71.6666666666667,70.9722222222222,5.7070707070707,4.33333333333333,5.52777777777777,2.82352941176471,1.82352941176471,0.705882352941177,0.647058823529412,2.11764705882353,1.17647058823529,2.32352941176471,0.676470588235294,1.64705882352941,1.44444444444444,0.879084967320262,0.76797385620915,"2017"
"8","Akhisar Belediyespor","T1",69,71,70,73,73,72,71,78,72,69,69,70,70,70,70,68,68,68,71.5454545454545,69,70.5,72.25,72,69.1428571428571,73.6414141414141,73.75,73.0138888888889,-2.0959595959596,-3.25,-1.01388888888889,1.70588235294118,1,1.05882352941176,1.41176470588235,0.647058823529412,-0.411764705882353,1.35294117647059,1.23529411764706,0.117647058823529,1.35294117647059,0,0.117647058823529,"2017"
"9","Alanyaspor","T1",67,78,74,74,72,71,70,73,72,70,69,69,68,68,67,67,67,66,71.8181818181818,67,76,71.75,71,67.4285714285714,73.6414141414141,73.75,73.0138888888889,-1.82323232323233,2.25,-2.01388888888889,2.05882352941176,1.11764705882353,1.88235294117647,1.94117647058824,0.176470588235294,-0.823529411764706,1.58823529411765,1.91176470588235,-0.323529411764706,1.35294117647059,0.235294117647059,-0.558823529411764,"2017"
"10","Alaves","SP1",77,76,76,77,77,76,76,77,76,76,75,75,74,74,74,74,73,72,76.2727272727273,77,76,76.5,76,73.7142857142857,79.2909090909091,80.05,78.6125,-3.01818181818183,-4.05,-2.6125,1,1.15789473684211,1.10526315789474,1.15789473684211,-0.105263157894737,0,1.07894736842105,1.13157894736842,-0.0526315789473686,1.47105263157895,-0.392105263157895,0.339473684210526,"2017"
"11","Alcorcon","SP2",72,73,68,72,70,69,68,72,71,70,70,69,69,68,68,68,67,67,70.4545454545455,72,70.5,69.75,70.75,68,70.8925619834711,70.5909090909091,70.5681818181818,-0.438016528925615,-0.0909090909090935,0.181818181818187,1.14285714285714,0.380952380952381,0.80952380952381,1.23809523809524,0.333333333333333,-0.857142857142857,0.761904761904762,1.02380952380952,-0.261904761904762,1.12662337662338,-0.364718614718615,0.102813852813853,"2017"
"12","Almeria","SP2",68,73,69,74,70,70,69,75,73,73,71,70,70,69,69,69,68,68,71.3636363636364,68,71,70.75,73,69,70.8925619834711,70.5909090909091,70.5681818181818,0.471074380165291,0.409090909090907,2.43181818181819,1.57142857142857,0.523809523809524,0.857142857142857,1.47619047619048,0.714285714285714,-0.952380952380952,1.04761904761905,1.16666666666667,-0.119047619047619,1.12662337662338,-0.079004329004329,-0.0400432900432901,"2017"
"13","Amiens","F2",67,68,67,69,67,66,65,67,66,66,65,65,64,64,64,64,64,63,66.6363636363636,67,67.5,66.75,66,64,68.1545454545455,68.55,67.8875,-1.51818181818182,-1.05,-1.8875,1.52631578947368,1.42105263157895,0.789473684210526,1.21052631578947,0.736842105263158,0.210526315789474,1.47368421052632,1,0.473684210526316,1.24078947368421,0.232894736842105,0.24078947368421,"2017"
"14","Anderlecht","B1",71,78,71,78,77,76,75,75,74,73,73,74,74,73,72,72,72,71,74.6363636363636,71,74.5,76.5,73.75,72.5714285714286,71.2329545454545,71.34375,70.5,3.40340909090909,3.15625,3.25,2.53333333333333,1.93333333333333,0.733333333333333,1.26666666666667,1.8,0.666666666666667,2.23333333333333,1,1.23333333333333,1.37083333333333,0.8625,0.370833333333333,"2017"
"15","Angers","F1",73,76,74,78,75,74,73,78,74,73,71,71,71,71,71,70,70,70,74.4545454545455,73,75,75,74,70.5714285714286,76.1909090909091,76.575,75.4125,-1.73636363636363,-1.575,-1.41249999999999,1.21052631578947,0.894736842105263,0.894736842105263,1.68421052631579,0.315789473684211,-0.789473684210526,1.05263157894737,1.28947368421053,-0.236842105263158,1.30789473684211,-0.255263157894737,0.0184210526315789,"2017"
"16","Antalyaspor","T1",68,81,73,76,74,73,72,76,72,71,68,71,70,70,69,69,69,68,73.0909090909091,68,77,73.75,71.75,69.4285714285714,73.6414141414141,73.75,73.0138888888889,-0.550505050505052,3.25,-1.26388888888889,1.17647058823529,1.58823529411765,0.941176470588235,1.41176470588235,0.235294117647059,0.176470588235294,1.38235294117647,1.17647058823529,0.205882352941176,1.35294117647059,0.0294117647058822,0.176470588235294,"2017"
"17","Arouca","P1",74,73,73,73,72,72,69,73,71,71,70,73,70,70,69,68,67,67,71.9090909090909,74,73,71.5,71.25,69.1428571428571,73.2323232323232,73.0833333333333,72.9027777777778,-1.32323232323233,-0.0833333333333286,-1.65277777777777,1.05882352941176,0.882352941176471,1.35294117647059,2,-0.294117647058824,-1.11764705882353,0.970588235294118,1.67647058823529,-0.705882352941177,1.18954248366013,-0.218954248366013,-0.486928104575163,"2017"
"18","Arsenal","E0",88,88,83,89,86,83,82,85,84,82,80,81,81,80,80,80,79,79,84.5454545454545,88,85.5,85,82.75,80,79.8136363636364,80.35,78.9,4.73181818181818,5.15000000000001,3.84999999999999,2.05263157894737,2,0.842105263157895,1.47368421052632,1.21052631578947,0.526315789473684,2.02631578947368,1.15789473684211,0.868421052631579,1.4,0.626315789473684,0.242105263157895,"2017"
"19","Ascoli","I2",67,71,68,69,68,67,64,67,66,65,65,67,67,66,65,65,64,64,67,67,69.5,67,65.75,65.4285714285714,68.9917355371901,70.0681818181818,68.5227272727273,-1.99173553719008,-0.568181818181813,-2.77272727272727,1.28571428571429,0.80952380952381,1.38095238095238,0.952380952380952,-0.0952380952380951,-0.142857142857143,1.04761904761905,1.16666666666667,-0.119047619047619,1.10497835497835,-0.0573593073593073,-0.0616883116883116,"2017"
"20","Aston Villa","E1",72,76,73,75,75,74,73,75,75,75,74,73,73,73,72,72,72,71,74.2727272727273,72,74.5,74.25,74.75,72.2857142857143,71.5871212121212,71.3541666666667,71.6145833333333,2.68560606060605,3.14583333333333,3.13541666666667,1.43478260869565,0.608695652173913,0.869565217391304,1.21739130434783,0.565217391304348,-0.608695652173913,1.02173913043478,1.04347826086957,-0.0217391304347825,1.30525362318841,-0.283514492753623,0.261775362318841,"2017"
"21","Atalanta","I1",78,82,77,75,75,74,74,76,75,75,75,76,74,74,73,73,72,72,76,78,79.5,74.5,75.25,73.4285714285714,77.6590909090909,78.5,77.1125,-1.65909090909091,1,-1.8625,1.63157894736842,1.63157894736842,0.947368421052632,1.21052631578947,0.684210526315789,0.421052631578947,1.63157894736842,1.07894736842105,0.552631578947368,1.47763157894737,0.153947368421053,0.398684210526316,"2017"
"22","Ath Bilbao","SP1",79,84,80,82,81,81,81,84,81,79,78,78,78,77,77,77,75,74,80.9090909090909,79,82,81.25,80.5,76.5714285714286,79.2909090909091,80.05,78.6125,1.61818181818181,1.95,1.8875,1.89473684210526,0.894736842105263,0.947368421052632,1.31578947368421,0.947368421052632,-0.421052631578947,1.39473684210526,1.13157894736842,0.263157894736842,1.47105263157895,-0.0763157894736843,0.339473684210526,"2017"
"23","Ath Madrid","SP1",87,88,83,84,84,84,82,88,85,83,83,82,81,81,81,81,80,79,84.6363636363636,87,85.5,83.5,84.75,80.7142857142857,79.2909090909091,80.05,78.6125,5.34545454545454,5.45,6.1375,2.10526315789474,1.57894736842105,0.736842105263158,0.684210526315789,1.36842105263158,0.894736842105263,1.84210526315789,0.710526315789474,1.13157894736842,1.47105263157895,0.371052631578947,0.760526315789474,"2017"
"24","Augsburg","D1",80,78,76,80,76,76,75,77,76,76,74,75,75,74,74,74,72,72,76.7272727272727,80,77,76.75,75.75,73.7142857142857,78.2121212121212,78.0277777777778,77.7777777777778,-1.48484848484848,-1.02777777777777,-2.02777777777777,1.29411764705882,0.764705882352941,1.47058823529412,1.52941176470588,-0.176470588235294,-0.764705882352941,1.02941176470588,1.5,-0.470588235294118,1.43300653594771,-0.40359477124183,-0.0669934640522876,"2017"
"25","Auxerre","F2",68,71,70,72,71,70,67,70,69,68,68,67,66,65,64,63,62,61,69.4545454545455,68,70.5,70,68.75,64,68.1545454545455,68.55,67.8875,1.3,1.95,0.862499999999997,0.894736842105263,0.578947368421053,1.21052631578947,0.894736842105263,-0.315789473684211,-0.315789473684211,0.736842105263158,1.05263157894737,-0.31578947368421,1.24078947368421,-0.503947368421052,0.188157894736842,"2017"
"26","Avellino","I2",66,72,70,68,67,66,65,69,67,66,64,69,65,65,65,64,63,62,67.2727272727273,66,71,66.5,66.5,64.7142857142857,68.9917355371901,70.0681818181818,68.5227272727273,-1.71900826446281,0.931818181818187,-2.02272727272727,1.23809523809524,0.666666666666667,1.04761904761905,1.57142857142857,0.19047619047619,-0.904761904761905,0.952380952380952,1.30952380952381,-0.357142857142857,1.10497835497835,-0.152597402597403,-0.204545454545455,"2017"
"27","AZ Alkmaar","N1",78,74,72,73,73,72,72,77,75,74,73,73,71,71,70,70,69,69,73.9090909090909,78,73,72.5,74.75,70.4285714285714,71.2020202020202,71.6666666666667,70.9722222222222,2.7070707070707,1.33333333333333,3.77777777777777,1.82352941176471,1.47058823529412,1.47058823529412,1.58823529411765,0.352941176470588,-0.117647058823529,1.64705882352941,1.52941176470588,0.117647058823529,1.44444444444444,0.202614379084967,-0.0849673202614378,"2017"
"28","Barcelona","SP1",83,93,92,88,87,86,84,87,86,84,82,92,83,81,81,80,80,80,86.5454545454545,83,92.5,86.25,84.75,82.4285714285714,79.2909090909091,80.05,78.6125,7.25454545454545,12.45,6.1375,3.36842105263158,2.73684210526316,0.894736842105263,1.05263157894737,2.47368421052632,1.68421052631579,3.05263157894737,0.973684210526316,2.07894736842105,1.47105263157895,1.58157894736842,0.497368421052632,"2017"
"29","Bari","I2",67,74,71,76,74,72,71,75,74,72,71,71,70,69,69,68,68,68,72.4545454545455,67,72.5,73.25,73,69,68.9917355371901,70.0681818181818,68.5227272727273,3.46280991735537,2.43181818181819,4.47727272727273,1.28571428571429,0.571428571428571,0.761904761904762,1.33333333333333,0.523809523809524,-0.761904761904762,0.928571428571429,1.04761904761905,-0.119047619047619,1.10497835497835,-0.176406926406926,0.0573593073593075,"2017"
"30","Barnet","E3",61,64,58,65,63,59,59,63,62,62,61,61,59,59,59,58,57,56,61.5454545454545,61,61,61.5,62,58.4285714285714,63.1666666666667,62.9375,63.2395833333333,-1.62121212121212,-1.9375,-1.23958333333334,1.17391304347826,1.30434782608696,1.34782608695652,1.43478260869565,-0.173913043478261,-0.130434782608696,1.23913043478261,1.39130434782609,-0.152173913043478,1.32699275362319,-0.0878623188405796,-0.0643115942028984,"2017"
