Club,New
 SSV Jahn Regensburg,Regensburg
1. FC Heidenheim,Heidenheim
1. FC Kaiserslautern,Kaiserslautern
1. FC Koln,FC Koln
1. FC Magdeburg,1. FC Magdeburg
1. FC Nurnberg,Nurnberg
1. FC Union Berlin,Union Berlin
1. FSV Mainz 05,Mainz
Aalborg BK,Aalborg BK
Aalesunds FK,Aalesunds FK
Aarhus GF,Aarhus GF
Aberdeen,Aberdeen
AC Ajaccio,Ajaccio
AC Horsens,AC Horsens
Accrington Stanley,Accrington
AD Alcorcon,Alcorcon
Adelaide United,Adelaide United
ADO Den Haag,Den Haag
AEK Athens,AEK Athens
AFC Eskilstuna,AFC Eskilstuna
AFC Wimbledon,AFC Wimbledon
Aguilas Doradas,Aguilas Doradas
AIK Solna,AIK Solna
AJ Auxerre,Auxerre
Ajax,Ajax
Akhisar Belediyespor,Akhisar Belediyespor
Al Ahli,Al Ahli
Al Batin,Al Batin
Al Faisaly,Al Faisaly
Al Fateh,Al Fateh
Al Fayha,Al Fayha
Al Hilal,Al Hilal
Al Ittihad,Al Ittihad
Al Nassr,Al Nassr
Al Qadisiyah,Al Qadisiyah
Al Raed,Al Raed
Al Shabab,Al Shabab
Al Taawoun,Al Taawoun
Alanyaspor,Alanyaspor
Albacete Balompie,Albacete
Albirex Niigata,Albirex Niigata
Alianza Petrolera,Alianza Petrolera
Amiens SC Football,Amiens
Amkar Perm,Amkar Perm
Angers SCO,Angers
Antalyaspor,Antalyaspor
Argentinos Juniors,Argentinos Juniors
Arka Gdynia,Arka Gdynia
Arsenal,Arsenal
Arsenal de Sarandi,Arsenal de Sarandi
Arsenal Tula,Arsenal Tula
AS Monaco,Monaco
AS Nancy Lorraine,Nancy
AS Saint-Etienne,St Etienne
Ascoli,Ascoli
Asociacion Deportivo Cali,Asociacion Deportivo Cali
Associaaao Atletica Ponte Preta,Associaaao Atletica Ponte Preta
Associaaao Chapecoense de Futebol,Associaaao Chapecoense de Futebol
Aston Villa,Aston Villa
Atalanta,Atalanta
Athletic Club de Bilbao,Ath Bilbao
Atiker Konyaspor,Konyaspor
Atlanta United FC,Atlanta United FC
Atletico Bucaramanga,Atletico Bucaramanga
Atletico Clube Goianiense,Atletico Clube Goianiense
Atletico Huila,Atletico Huila
Atletico Madrid,Ath Madrid
Atletico Nacional Medellin,Atletico Nacional Medellin
Atletico Tucuman,Atletico Tucuman
Audax Italiano,Audax Italiano
Avai Futebol Clube,Avai Futebol Clube
Avellino,Avellino
AZ Alkmaar,AZ Alkmaar
Bahia Blanca,Bahia Blanca
Banfield,Banfield
Bari,Bari
Barnet,Barnet
Barnsley,Barnsley
Bayer 04 Leverkusen,Leverkusen
Belgrano de Cordoba,Belgrano de Cordoba
Benevento Calcio,Benevento
Besiktas JK,Besiktas
Birmingham City,Birmingham
BK Hacken,BK Hacken
Blackburn Rovers,Blackburn
Blackpool,Blackpool
Boavista FC,Boavista
Boca Juniors,Boca Juniors
Bohemian FC,Bohemian FC
Bologna,Bologna
Bolton Wanderers,Bolton
Borussia Dortmund,Dortmund
Borussia Monchengladbach,M'gladbach
Botafogo de Futebol e Regatas,Botafogo de Futebol e Regatas
Bourg en Bresse Peronnas 01,Bourg Peronnas
Bournemouth,Bournemouth
Bradford City,Bradford
Bray Wanderers,Bray Wanderers
Brentford,Brentford
Brescia,Brescia
