"","GameNum","X","Season","Date","Div","Country","League","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HomeOverall","HomeGoalkeeper","HomeAttacking","HomeMidfield","HomeDefense","HomeBench","AwayOverall","AwayGoalkeeper","AwayAttacking","AwayMidfield","AwayDefense","AwayBench","GoalDiff","TotalGoals"
"5945",5945,7842,"2018/2019","2018-08-25 00:00:00","E3","England","League 2","Morecambe","Oldham",0,2,"A",13,6,5,3,61.0909090909091,63,61,63.5,58.25,59.1428571428571,64,63,65.5,65,62.5,61,-2,2
"4977",4977,6651,"2018/2019","2018-10-06 00:00:00","I1","Italy","Serie A","Udinese","Juventus",0,2,"A",5,13,4,7,74.9090909090909,74,77,75.75,73.25,74.2857142857143,87,85,91.5,85.5,86.75,83.1428571428571,-2,2
"10667",10667,13536,"2017/2018","2017-11-11 00:00:00","E3","England","League 2","Cheltenham","Luton",2,2,"D",8,10,4,3,61.9090909090909,61,62.5,61.75,62,59.8571428571429,65.6363636363636,67,67.5,64.75,65.25,62,0,4
"1089",1089,1923,"2018/2019","2019-04-06 00:00:00","I1","Italy","Serie A","Sampdoria","Roma",0,1,"A",10,9,2,5,76.7272727272727,74,80,77.25,75.25,74.4285714285714,82.3636363636364,80,83.5,82,82.75,78.5714285714286,-1,1
"9048",9048,11575,"2017/2018","2018-01-27 00:00:00","T1","Turkey","Futbol Ligi 1","Alanyaspor","Bursaspor",3,1,"H",10,5,5,3,72.2727272727273,74,72.5,74,70,67.5714285714286,73.1818181818182,75,73,73.5,72.5,70.2857142857143,2,4
"9342",9342,11911,"2017/2018","2018-01-13 00:00:00","E2","England","League 1","Bury","Charlton",0,1,"A",7,12,0,6,66.2727272727273,61,68,66.5,66.5,63.7142857142857,67.9090909090909,68,66,68.25,68.5,63.5714285714286,-1,1
"15686",15686,19566,"2016/2017","2017-01-28 00:00:00","D1","Germany","Bundesliga 1","RB Leipzig","Hoffenheim",2,1,"H",14,5,5,2,76,74,76,77.5,75,71.2857142857143,78.1818181818182,80,78,77.5,78.5,75.5714285714286,1,3
"7150",7150,9261,"2017/2018","2018-04-15 00:00:00","F1","France","Le Championnat","Troyes","Marseille",2,3,"A",12,21,7,9,71.6363636363636,74,74,71,70.5,67.7142857142857,80.3636363636364,82,80.5,80.75,79.5,74.7142857142857,-1,5
"10552",10552,13391,"2017/2018","2017-11-18 00:00:00","E0","England","Premier League","West Brom","Chelsea",0,4,"A",7,11,2,7,78.2727272727273,80,78,79.25,77,74.7142857142857,85.5454545454545,89,88,84.75,84.25,81.1428571428571,-4,4
"3287",3287,4630,"2018/2019","2018-12-23 00:00:00","B1","Belgium","Jupiler League","Waregem","Charleroi",3,1,"H",15,9,5,7,70.4545454545455,71,72,72,68,67.8571428571429,71.7272727272727,73,72.5,71.5,71.25,69.8571428571429,2,4
"12065",12065,15199,"2017/2018","2017-09-12 00:00:00","E1","England","Championship","Leeds","Birmingham",2,0,"H",17,14,5,5,73.2727272727273,75,72.5,73.5,73,69.2857142857143,72.3636363636364,74,70,73.75,71.75,70.8571428571429,2,2
"17029",17029,21195,"2016/2017","2016-11-20 00:00:00","SP1","Spain","La Liga Primera Division","Valencia","Granada",1,1,"D",14,9,7,5,79.9090909090909,82,82,78.25,80,77,75.2727272727273,79,75.5,75.25,74.25,72,0,2
"5412",5412,7172,"2018/2019","2018-09-22 00:00:00","D1","Germany","Bundesliga 1","Nurnberg","Hannover",2,0,"H",14,9,6,3,73.8181818181818,73,73.5,74.75,73.25,69.7142857142857,75.4545454545455,76,75.5,75.25,75.5,73,2,2
"7692",7692,9952,"2017/2018","2018-03-24 00:00:00","E2","England","League 1","Peterboro","Bristol Rvs",1,1,"D",20,9,5,1,65.2727272727273,64,65.5,66,64.75,62.1428571428571,65.3636363636364,64,65.5,65.75,65.25,62.1428571428571,0,2
"14718",14718,18407,"2016/2017","2017-03-04 00:00:00","I2","Italy","Serie B","Virtus Entella","Bari",2,0,"H",NA,NA,NA,NA,67.6363636363636,68,70.5,65.25,68.5,62,72.4545454545455,67,72.5,73.25,73,69,2,2
"12912",12912,16253,"2016/2017","2017-05-21 00:00:00","D2","Germany","Bundesliga 2","Dresden","Bielefeld",1,1,"D",NA,NA,NA,NA,68.4545454545455,69,69,68.25,68.25,66.8571428571429,69,69,70,68.75,68.75,66.5714285714286,0,2
"3949",3949,5416,"2018/2019","2018-11-27 00:00:00","E3","England","League 2","Forest Green","Colchester",0,1,"A",9,9,0,6,64.0909090909091,61,64.5,64.25,64.5,61.7142857142857,65,61,65.5,66,64.75,62.4285714285714,-1,1
"6900",6900,8952,"2017/2018","2018-04-27 00:00:00","SC0","Scotland","Premier League","Aberdeen","Hearts",2,0,"H",14,5,7,1,69.9090909090909,72,68.5,69.5,70.5,64.1428571428571,68.3636363636364,66,65.5,70,68.75,63.1428571428571,2,2
"6937",6937,8997,"2017/2018","2018-04-22 00:00:00","E0","England","Premier League","Arsenal","West Ham",4,1,"H",20,11,8,4,84.0909090909091,86,86.5,84,82.5,80.2857142857143,79.6363636363636,82,82,78.25,79.25,76.7142857142857,3,5
"13320",13320,16680,"2016/2017","2017-04-30 00:00:00","E2","England","League 1","Bolton","Peterboro",3,0,"H",14,4,6,1,68.5454545454545,65,67.5,69.5,69,66.2857142857143,65.1818181818182,64,63,65.75,66,63.1428571428571,3,3
"10338",10338,13127,"2017/2018","2017-11-25 00:00:00","E1","England","Championship","Norwich","Preston",1,1,"D",9,19,3,4,72.7272727272727,68,73,73.5,73,69.8571428571429,69.7272727272727,70,69.5,70.25,69.25,67.5714285714286,0,2
"13714",13714,17159,"2016/2017","2017-04-15 00:00:00","SP2","Spain","La Liga Segunda Division","Huesca","Cadiz",1,1,"D",NA,NA,NA,NA,70.3636363636364,70,70,71.75,69.25,68.8571428571429,71,70,71,71.25,71,68.4285714285714,0,2
"10386",10386,13175,"2017/2018","2017-11-25 00:00:00","D2","Germany","Bundesliga 2","Regensburg","Duisburg",4,0,"H",13,10,6,5,67.2727272727273,69,68.5,67.25,66.25,64.5714285714286,67.9090909090909,68,67,69,67.25,66.2857142857143,4,4
"14449",14449,18093,"2016/2017","2017-03-13 00:00:00","T1","Turkey","Futbol Ligi 1","Akhisar Belediyespor","Trabzonspor",1,3,"A",NA,NA,NA,NA,71.5454545454545,69,70.5,72.25,72,69.1428571428571,75.7272727272727,78,73,75.75,76.5,71.8571428571429,-2,4
"8104",8104,10454,"2017/2018","2018-03-03 00:00:00","I2","Italy","Serie B","Ascoli","Salernitana",1,3,"A",9,8,3,7,67,67,68,67.25,66.25,64.8571428571429,69.5454545454545,67,72.5,68.75,69.5,67.1428571428571,-2,4
"3307",3307,4650,"2018/2019","2018-12-23 00:00:00","D1","Germany","Bundesliga 1","Hoffenheim","Mainz",1,1,"D",28,12,7,5,79.6363636363636,83,77,79.75,80,76.2857142857143,75.8181818181818,79,74,76,75.75,73,0,2
"14858",14858,18584,"2016/2017","2017-02-26 00:00:00","D2","Germany","Bundesliga 2","Nurnberg","Bochum",0,1,"A",NA,NA,NA,NA,71.1818181818182,70,71.5,71.75,70.75,68.2857142857143,70.8181818181818,72,69,70.25,72,67.1428571428571,-1,1
"17011",17011,21177,"2016/2017","2016-11-20 00:00:00","SP2","Spain","La Liga Segunda Division","Tenerife","UCAM Murcia",2,1,"H",NA,NA,NA,NA,71.5454545454545,74,71.5,72.25,70.25,69.1428571428571,68.2727272727273,67,68.5,67.75,69,67,1,3
"10590",10590,13440,"2017/2018","2017-11-18 00:00:00","E2","England","League 1","Bury","Blackburn",0,3,"A",10,10,3,6,66.2727272727273,61,68,66.5,66.5,63.7142857142857,68.5454545454545,67,68,69.5,68.25,65.7142857142857,-3,3
"5356",5356,7095,"2018/2019","2018-09-22 00:00:00","D1","Germany","Bundesliga 1","Wolfsburg","Freiburg",1,3,"A",17,12,9,8,78.1818181818182,82,77.5,78.25,77.5,75,75.0909090909091,77,77,74.25,74.5,72,-2,4
"9417",9417,12015,"2017/2018","2018-01-06 00:00:00","E3","England","League 2","Forest Green","Port Vale",1,0,"H",10,9,3,2,62,59,61.5,62.25,62.75,57.7142857142857,63.3636363636364,62,64,62.75,64,60.8571428571429,1,1
"17905",17905,22245,"2016/2017","2016-10-09 00:00:00","I2","Italy","Serie B","Vicenza","Cesena",0,0,"D",NA,NA,NA,NA,69.4545454545455,70,70,68.75,69.75,65.8571428571429,70.5454545454545,70,71,70.75,70.25,67.1428571428571,0,0
"6724",6724,8741,"2017/2018","2018-05-04 00:00:00","E0","England","Premier League","Brighton","Man United",1,0,"H",11,16,4,3,75.1818181818182,77,75.5,76,73.75,72.8571428571429,84.9090909090909,90,87,85,82.5,80.7142857142857,1,1
"18398",18398,22835,"2016/2017","2016-09-18 00:00:00","N1","Netherlands","Eredivisie","Heracles","Ajax",0,2,"A",NA,NA,NA,NA,70,70,71,69.5,70,67.2857142857143,76.9090909090909,76,76,78,76.5,72.2857142857143,-2,2
"13405",13405,16775,"2016/2017","2017-04-29 00:00:00","SC0","Scotland","Premier League","Aberdeen","St Johnstone",0,2,"A",13,8,1,4,68.6363636363636,69,66,71,67.5,64.2857142857143,66.7272727272727,67,65.5,67.25,66.75,62.8571428571429,-2,2
"17148",17148,21340,"2016/2017","2016-11-18 00:00:00","B1","Belgium","Jupiler League","St Truiden","Club Brugge",0,1,"A",NA,NA,NA,NA,70.2727272727273,70,69,70.5,70.75,67.2857142857143,75.7272727272727,76,77,75.75,75,73.1428571428571,-1,1
"3478",3478,4850,"2018/2019","2018-12-16 00:00:00","SP2","Spain","La Liga Segunda Division","Las Palmas","Tenerife",1,1,"D",13,17,2,6,73.5454545454545,74,75.5,72.75,73.25,71.2857142857143,70.8181818181818,71,71,72.25,69.25,69,0,2
